1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
-0.095768064,-0.05746084,9.768343,33.93,0.44,-0.58,-0.0021293017,0.0021293017,-0.0010646508,-20.8125,31.0625,-12.5625,-0.0997,-0.0761,9.8057995,-0.0184,0.0267,0.0094,34.124365,108.834823,148.0,0.0,VIBRATE_MODE,Depressed
-0.10534488,-0.08619126,9.749189,33.93,0.41,-0.59,-0.0010646508,0.0021293017,-0.0021293017,-21.5,31.625,-12.6875,-0.100999996,-0.0716,9.8057995,0.0122,0.0123,-0.029399998,34.124365,108.834823,146.0,0.0,VIBRATE_MODE,Depressed
-0.095768064,-0.08619126,9.730036,33.93,0.39,-0.62,-0.0021293017,0.0021293017,-0.0010646508,-20.9375,31.0625,-12.6875,-0.1064,-0.0657,9.8057995,0.017199999,-0.023,0.0389,34.124365,108.834823,148.0,0.0,VIBRATE_MODE,Depressed
-0.095768064,-0.06703765,9.758766,33.93,0.41,-0.61,-0.0010646508,0.0021293017,0.0010646508,-20.3125,30.3125,-13.0,-0.1051,-0.070999995,9.8057995,-0.0133,-0.0177,0.0099,34.124365,108.834823,146.0,0.0,VIBRATE_MODE,Depressed
-0.1340753,-0.08619126,9.758766,33.93,0.39,-0.63,-0.0021293017,0.0021293017,-0.0021293017,-21.5,31.1875,-12.6875,-0.107999995,-0.0669,9.8057995,-1.0E-4,0.037299998,-0.0197,34.124365,108.834823,148.0,1.0,VIBRATE_MODE,Depressed
-0.11492168,-0.08619126,9.749189,33.93,0.35,-0.61,0.0,0.0021293017,-0.0010646508,-21.375,30.875,-13.125,-0.1048,-0.0609,9.8059,0.0061,0.0115,0.0,34.124365,108.834823,148.0,1.0,VIBRATE_MODE,Depressed
-0.11492168,-0.06703765,9.739613,33.93,0.39999998,-0.59999996,-0.0010646508,0.0,-0.0010646508,-21.5,31.0625,-12.3125,-0.103999995,-0.0696,9.8057995,-0.0045,4.9999997E-4,-7.0E-4,34.124365,108.834823,150.0,0.0,VIBRATE_MODE,Depressed
-2.2026656,2.5091233,8.073248,40.39,-15.11,-11.69,0.8197811,-0.054297194,-0.21718878,-15.3125,34.3125,-15.125,-1.9875,2.5040998,9.2708,-0.37,-0.21159999,-1.3708999,34.124365,108.834823,154.0,0.0,VIBRATE_MODE,Depressed
-2.4229321,3.5625722,8.647857,28.439999,-22.97,-15.389999,0.17353809,-0.07878416,-0.021293016,-14.75,31.9375,-18.4375,-2.6035,3.6908998,8.7045,0.5457,0.2965,0.7703,34.124365,108.834823,52.0,0.0,VIBRATE_MODE,Depressed

-0.6703765,3.466804,8.082825,340.31,-32.37,-6.44,0.042586032,-0.26935667,0.23528783,15.625,8.4375,-44.625,-1.1946,5.2890997,8.1711,0.46629998,-1.6252999,0.0139999995,34.125179,108.834471,9860.0,1.0,VIBRATE_MODE,Depressed

-0.94810385,3.8307228,7.785944,340.03998,-32.52,-6.19,0.10007718,-0.1320167,0.26722735,15.75,8.1875,-44.375,-1.1015999,5.2177997,8.2298,0.2762,-1.6625999,-0.1617,34.125179,108.834471,9757.0,1.0,VIBRATE_MODE,Depressed
-0.8714894,3.916914,7.297527,340.03998,-32.52,-6.19,0.033004176,0.20867157,0.2949083,15.75,8.1875,-44.375,-1.1015999,5.2177997,8.2298,0.2762,-1.6625999,-0.1617,34.125179,108.834471,9757.0,1.0,VIBRATE_MODE,Depressed

-0.8714894,3.916914,7.297527,340.03998,-32.52,-6.19,0.033004176,0.20867157,0.2949083,15.75,8.1875,-44.375,-1.1015999,5.2177997,8.2298,0.2762,-1.6625999,-0.1617,34.125179,108.834471,9757.0,1.0,VIBRATE_MODE,Depressed
-0.8714894,3.916914,7.297527,340.03998,-32.52,-6.19,0.033004176,0.20867157,0.2949083,15.75,8.1875,-44.375,-1.1015999,5.2177997,8.2298,0.2762,-1.6625999,-0.1617,34.125179,108.834471,9757.0,1.0,VIBRATE_MODE,Depressed

-0.8714894,3.916914,7.297527,340.03998,-32.52,-6.19,0.033004176,0.20867157,0.2949083,15.75,8.1875,-44.375,-1.1015999,5.2177997,8.2298,0.2762,-1.6625999,-0.1617,34.125179,108.834471,9757.0,1.0,VIBRATE_MODE,Depressed

